1301.JP,KYOKUYO
7516.JP,KOHNAN SHOJI
7517.JP,KURODA ELECTRIC
7518.JP,NET ONE SYSTEMS
7519.JP,GOYO INTEX
7520.JP,ECO S
7521.JP,MUSASHI
7522.JP,WATAMI
7523.JP,ART VIVANT
7524.JP,MARCHE
7525.JP,RIX
7527.JP,SYSTEMSOFT
7531.JP,SEIWA CHUO HOLDINGS
7532.JP,DON QUIJOTE HOLDINGS
7537.JP,MARUBUN
7538.JP,DAISUI
7539.JP,AINAVO HOLDINGS
7544.JP,THREE F
7545.JP,NISHIMATSUYA CHAIN
7550.JP,ZENSHO HOLDINGS
7551.JP,WEDS
7552.JP,HAPPINET
7554.JP,KOURAKUEN HOLDINGS
7555.JP,OTA FLORICULTURE AUCTION
7559.JP,GLOBAL FOOD CREATORS
7561.JP,HURXLEY
7562.JP,ANRAKUTEI
7564.JP,WORKMAN
7565.JP,MANSEI
7567.JP,SAKAE ELECTRONICS
7570.JP,HASHIMOTO SOGYO
7571.JP,YAMANO HOLDINGS
7575.JP,JAPAN LIFELINE
7577.JP,PASSPORT
7578.JP,NICHIRYOKU
7581.JP,SAIZERIYA
7585.JP,KAN NANMARU
7587.JP,PALTEK
7590.JP,TAKASHO
7591.JP,EXCEL
7593.JP,VT HOLDINGS
7594.JP,MARUKA MACHINERY
7595.JP,ARGO GRAPHICS
7596.JP,UORIKI
7597.JP,TOKYO KIHO
7599.JP,GULLIVER INTERNATIONAL
7600.JP,JAPAN MEDICAL DYNAMIC MARKETING
7601.JP,POPLAR
7602.JP,CARCHS HOLDINGS
7603.JP,MAC HOUSE
7604.JP,UMENOHANA
7605.JP,FUJI
7606.JP,UNITED ARROWS
7607.JP,SHINWA
7608.JP,SK JAPAN
7609.JP,DAITO ELECTRON
7610.JP,TAY TWO
7611.JP,HIDAY HIDAKA
7612.JP,COMMONWEALTH ENTERTAINMENT
7613.JP,SIIX
7614.JP,OM2NETWORK
7615.JP,KYOTO KIMONO YUZEN
7616.JP,COLOWIDE
7618.JP,PC DEPOT
7619.JP,TANAKA
7621.JP,UKAI
7623.JP,SUNAUTAS
7624.JP,NAITO
7625.JP,GLOBAL DINING
7628.JP,OHASHI TECHNICA
7630.JP,ICHIBANYA
7634.JP,HOSHIIRYO SANKI
7635.JP,SUGITA ACE
7636.JP,HANDSMAN
7637.JP,HAKUDO
7638.JP,CIMA
7640.JP,TOP CULTURE
7643.JP,DAIICHI
7646.JP,PLANT
7647.JP,ONTSU
7649.JP,SUGI HOLDINGS
7701.JP,SHIMADZU
7702.JP,JMS
7703.JP,KAWASUMI LABORATORIES
7705.JP,GL SCIENCES
7707.JP,PRECISION SYSTEM SCIENCE
7709.JP,KUBOTEK
7711.JP,SUKEGAWA ELECTRIC
7713.JP,SIGMA KOKI
7714.JP,MORITEX
7715.JP,NAGANO KEIKI
7716.JP,NAKANISHI
7717.JP,V TECHNOLOGY
7718.JP,STAR MICRONICS
7719.JP,TOKYO KOKI
7721.JP,TOKYO KEIKI
7722.JP,KOKUSAI
7723.JP,AICHI TOKEI DENKI
7725.JP,INTER ACTION
7726.JP,KURODA PRECISION INDUSTRIES
7727.JP,OVAL
7729.JP,TOKYO SEIMITSU
7730.JP,MANI
7731.JP,NIKON
7732.JP,TOPCON
7733.JP,OLYMPUS
7734.JP,RIKEN KEIKI
7735.JP,SCREEN HOLDINGS
7739.JP,CANON ELECTRONICS
7740.JP,TAMRON
7741.JP,HOYA
7743.JP,SEED
7744.JP,NORITSU KOKI
7745.JP,A D COMPANY
7746.JP,OKAMOTO GLASS
7747.JP,ASAHI INTECC
7748.JP,HOLON
7749.JP,MEDIKIT
7751.JP,CANON
7752.JP,RICOH COMPANY
7758.JP,SEKONIC HOLDINGS
7760.JP,IMV
7762.JP,CITIZEN HOLDINGS
7768.JP,JECO
7769.JP,RHYTHM WATCH
7771.JP,NIHON SEIMITSU
7774.JP,JAPAN TISSUE ENGINEERING
7775.JP,DAIKEN MEDICAL
7776.JP,CELLSEED
7777.JP,3 D MATRIX
7778.JP,AD ME TECH
7779.JP,CYBERDYNE
7780.JP,MENICON
7781.JP,HIRAYAMA
7812.JP,CRESTEC
7813.JP,PLATZ
7814.JP,JAPAN CREATIVE PLATFORM GROUP
7815.JP,TOKYO BOARD INDUSTRIES
7816.JP,SNOW PEAK
7817.JP,PARAMOUNT BED HOLDINGS
7818.JP,TRANSACTION
7819.JP,SHO BI
7820.JP,NIHON FLUSH
7821.JP,MAEDA KOSEN
7822.JP,EIDAI
7823.JP,ARTNATURE
7825.JP,DUNLOP SPORTS
7826.JP,FURUYA METAL
7827.JP,ORVIS
7829.JP,SAMANTHA THAVASA JAPAN
7831.JP,WELLCO HOLDINGS
7832.JP,BANDAI NAMCO HOLDINGS
7833.JP,IFIS JAPAN
7834.JP,MARUMAN
7835.JP,WIZ
7836.JP,AVIX
7837.JP,R C CORE
7838.JP,KYORITSU PRINTING
7839.JP,SHOEI
7840.JP,FRANCE BED HOLDINGS
7841.JP,ENDO MANUFACTURING
7844.JP,MARVELOUS
7846.JP,PILOT
7847.JP,GRAPHITE DESIGN
7849.JP,STARTS PUBLISHING
7850.JP,SOUGOU SHOUKEN
7851.JP,KAWASE COMPUTER SUPPLIES CO
7853.JP,FOOD PLANET
7855.JP,CARDINAL
7856.JP,HAGIHARA INDUSTRIES
7857.JP,SEKI
7859.JP,ALMEDIO
7860.JP,AVEX GROUP HOLDINGS
7862.JP,TOPPAN FORMS
7863.JP,HIRAGA
7864.JP,FUJI SEAL INTERNATIONAL
7865.JP,PEOPLE
7867.JP,TOMY COMPANY
7868.JP,KOSAIDO
7869.JP,NIHON FORM SERVICE
7871.JP,FUKUVI CHEMICAL INDUSTRY
7872.JP,AS ME ESTELLE
7873.JP,ARRK
7874.JP,LEC
7877.JP,EIDAI KAKO
7878.JP,KOSAIKOGEI
7879.JP,NODA
7883.JP,SUN MESSE
7885.JP,TAKANO
7886.JP,YAMATO INDUSTRY
7887.JP,NANKAI PLYWOOD
7888.JP,SANKO GOSEI
7889.JP,KUWAYAMA
7891.JP,JAPAN U PICA COMPANY
7893.JP,PRONEXUS
7895.JP,CHUO KAGAKU
7896.JP,SEVEN INDUSTRIES
7897.JP,HOKUSHIN
7898.JP,WOOD ONE
7899.JP,MICS CHEMICAL
7901.JP,MATSUMOTO
7902.JP,SONOCOM
7905.JP,DAIKEN
7906.JP,YONEX
7908.JP,KIMOTO
7911.JP,TOPPAN PRINTING
7912.JP,DAI NIPPON PRINTING
7913.JP,TOSHO PRINTING COMPANY
7914.JP,KYODO PRINTING
7915.JP,NISSHA PRINTING
7916.JP,MITSUMURA PRINTING
7917.JP,FUJIMORI KOGYO
7918.JP,VIA HOLDINGS
7919.JP,NOZAKI INSATSU SHIGYO
7920.JP,MIURA PRINTING
7921.JP,TAKARA PRINTING
7922.JP,SANKO SANGYO
7923.JP,TOIN
7925.JP,MAEZAWA KASEI INDUSTRIES
7927.JP,MUTO SEIKO
7928.JP,ASAHI KAGAKU KOGYO
7932.JP,NIPPI
7936.JP,ASICS
7937.JP,TSUTSUMI JEWELRY
7938.JP,REGAL
7939.JP,KENSOH
7942.JP,JSP
7943.JP,NICHIHA
7945.JP,COMANY
7946.JP,KOYOSHA
7947.JP,FP
7949.JP,KOMATSU WALL INDUSTRY
7951.JP,YAMAHA
7952.JP,KAWAI MUSICAL INSTRUMENTS MANUFACTURING
7953.JP,KIKUSUI CHEMICAL INDUSTRIES
7955.JP,CLEANUP
7956.JP,PIGEON
7957.JP,FUJICOPIAN
7958.JP,TENMA
7961.JP,KANEMATSU NNK
7962.JP,KING JIM
7963.JP,KOKEN
7965.JP,ZOJIRUSHI
7966.JP,LINTEC
7968.JP,TASAKI
7970.JP,SHIN ETSU POLYMER
7971.JP,TOLI
7972.JP,ITOKI
7974.JP,NINTENDO
7975.JP,LIHIT LAB
7976.JP,MITSUBISHI PENCIL COMPANY
7979.JP,SHOFU
7980.JP,SHIGEMATSU WORKS
7981.JP,TAKARA STANDARD
7983.JP,MIROKU
7984.JP,KOKUYO
7985.JP,NEPON
7986.JP,NIHON ISK COMPANY
7987.JP,NAKABAYASHI
7988.JP,NIFCO
7989.JP,TACHIKAWA
7990.JP,GLOBERIDE
7991.JP,MAMIYA OP
7992.JP,THE SAILOR PEN
7994.JP,OKAMURA
7995.JP,NIPPON VALQUA INDUSTRIES
7997.JP,KUROGANE KOSAKUSHO
7999.JP,MUTOH HOLDINGS
8001.JP,ITOCHU
8002.JP,MARUBENI
8005.JP,SCROLL
8006.JP,YUASA FUNASHOKU
8007.JP,TAKASHIMA
8008.JP,YONDOSHI HOLDINGS
8011.JP,SANYO SHOKAI
8012.JP,NAGASE
8013.JP,NAIGAI
8014.JP,CHORI
8015.JP,TOYOTA TSUSHO
8016.JP,ONWARD HOLDINGS
8018.JP,SANKYO SEIKO
8020.JP,KANEMATSU
8022.JP,MIZUNO
8023.JP,DAIKO DENSHI TSUSHIN
8025.JP,TSUKAMOTO
8028.JP,FAMILYMART
8029.JP,LOOK
8030.JP,CHUO GYORUI
8031.JP,MITSUI
8032.JP,JAPAN PULP AND PAPER COMPANY
8035.JP,TOKYO ELECTRON
8036.JP,HITACHI HIGH TECHNOLOGIES
8037.JP,KAMEI
8038.JP,TOHTO SUISAN
8039.JP,TSUKIJI UOICHIBA COMPANY
8040.JP,TOKYO SOIR
8041.JP,OUG HOLDINGS
8043.JP,STARZEN COMPANY
8044.JP,DAITO GYORUI
8045.JP,YOKOHAMA MARUUO
8046.JP,MARUFUJI SHEET PILING
8050.JP,SEIKO HOLDINGS
8051.JP,YAMAZEN
8052.JP,TSUBAKIMOTO KOGYO
8053.JP,SUMITOMO SUMITOMO SHOJI KAISHA
8056.JP,NIHON UNISYS
8057.JP,UCHIDA YOKO
8058.JP,MITSUBISHI
8059.JP,DAIICHI JITSUGYO
8060.JP,CANON MARKETING JAPAN
8061.JP,SEIKA
8065.JP,SATO SHOJI
8066.JP,MITANI
8068.JP,RYOYO ELECTRO
8070.JP,TOKYO SANGYO
8072.JP,JAPAN PUBLICATIONS TRADING
8073.JP,MAG NET HOLDINGS
8074.JP,YUASA TRADING
8075.JP,SHINSHO
8077.JP,KOBAYASHI METALS
8078.JP,HANWA
8079.JP,SHOEI FOODS
8081.JP,KANADEN
8084.JP,RYODEN TRADING COMPANY
8085.JP,NARASAKI SANGYO
8086.JP,NIPRO
8087.JP,FURUSATO INDUSTRIES
8088.JP,IWATANI
8089.JP,NICE HOLDINGS
8090.JP,SHOKO
8091.JP,NICHIMO
8093.JP,KYOKUTO BOEKI KAISHA
8095.JP,IWAKI
8096.JP,KANEMATSU ELECTRONICS
8097.JP,SAN AI OIL
8098.JP,INABATA
8101.JP,GSI CREOS
8103.JP,MEIWA
8105.JP,MARUSHO HOTTA
8107.JP,KIMURATAN
8111.JP,GOLDWIN
8113.JP,UNICHARM
8114.JP,DESCENTE
8115.JP,MOONBAT
8117.JP,CENTRAL AUTOMOTIVE PRODUCTS
8118.JP,KING
8119.JP,SANYEI
8123.JP,T KAWABE
8125.JP,WAKITA
8127.JP,YAMATO INT
8129.JP,TOHO HOLDINGS
8130.JP,SANGETSU
8131.JP,MITSUUROKO GROUP HOLDINGS
8132.JP,SINANEN HOLDINGS
8133.JP,ITOCHU ENEX
8135.JP,ZETT
8136.JP,SANRIO COMPANY
8137.JP,SUN WA TECHNOS
8138.JP,SANKYO KASEI
8139.JP,NAGAHORI
8140.JP,RYOSAN COMPANY
8141.JP,SHINKO SHOJI
8142.JP,TOHO
8143.JP,LAPINE
8144.JP,DENKYOSHA
8147.JP,TOMITA
8148.JP,UEHARA SEI SHOJI
8150.JP,SANSHIN ELECTRONICS
8151.JP,TOYO
8152.JP,SOMAR
8153.JP,MOS FOOD SERVICES
8154.JP,KAGA ELECTRONICS
8155.JP,MIMASU SEMICONDUCTOR INDUSTRY
8157.JP,TSUZUKI DENKI
8158.JP,SODA NIKKA
8159.JP,TACHIBANA ELETECH
8160.JP,KISOJI
8163.JP,SATO RESTAURANT SYSTEMS
8165.JP,SENSHUKAI
8166.JP,TAKA Q
8167.JP,RETAIL PARTNERS
8168.JP,KEIYO
8170.JP,ADERANS COMPANY
8173.JP,JOSHIN DENKI
8174.JP,NIPPON GAS
8175.JP,BEST DENKI
8179.JP,ROYAL HOLDINGS
8181.JP,TOTENKO
8182.JP,INAGEYA
8184.JP,SHIMACHU
8185.JP,CHIYODA
8186.JP,OTSUKA KAGU
8191.JP,HIKARI FURNITURE
8194.JP,LIFE
8198.JP,MAXVALU TOKAI
8200.JP,RINGER HUT
8201.JP,SAGAMI
8202.JP,LAOX
8203.JP,MR MAX
8205.JP,SHAKLEE GLOBAL GROUP
8207.JP,TEN ALLIED
8208.JP,ENCHO
8209.JP,FRIENDLY
8214.JP,AOKI HOLDINGS
8215.JP,GINZA YAMAGATAYA
8217.JP,OKUWA
8218.JP,KOMERI
8219.JP,AOYAMA TRADING
8225.JP,TAKACHIHO
8226.JP,RIKEI
8227.JP,SHIMAMURA
8230.JP,HASEGAWA
8233.JP,TAKASHIMAYA COMPANY
8237.JP,MATSUYA
8242.JP,H2O RETAILING
8244.JP,KINTETSU DEPARTMENT STORE
8245.JP,MARUEI DEPARTMENT STORE COMPANY
8247.JP,DAIWA
8248.JP,NISSEN HOLDINGS
8249.JP,TECHNO ASSOCIE
8251.JP,PARCO
8252.JP,MARUI GROUP
8253.JP,CREDIT SAISON
8254.JP,SAIKAYA
8255.JP,AXIAL RETAILING
8256.JP,MARUMITSU
8257.JP,SANYO DEPARTMENT STORE
8260.JP,IZUTSUYA
8267.JP,AEON
8270.JP,UNY GROUP HOLDINGS
8273.JP,IZUMI
8274.JP,TOBU STORE
8275.JP,FORVAL
8276.JP,HEIWADO
8278.JP,FUJI
8279.JP,YAOKO
8281.JP,XEBIO HOLDINGS
8282.JP,K S HOLDINGS
8283.JP,PALTAC
8285.JP,MITANI SANGYO
8287.JP,MAXVALU NISHINIHON
8289.JP,OLYMPIC GROUP
8291.JP,NISSAN TOKYO SALES HOLDINGS
8298.JP,FAMILY
8303.JP,SHINSEI BANK
8304.JP,AOZORA BANK
8306.JP,MITSUBISHI UFJ FINANCIAL GROUP
8308.JP,RESONA HOLDINGS
8309.JP,SUMITOMO MITSUI TRUST HOLDINGS
8316.JP,SUMITOMO MITSUI FINANCIAL GROUP
8324.JP,THE DAISHI BANK
8325.JP,THE HOKUETSU BANK
8327.JP,THE NISHI NIPPON CITY BANK
8331.JP,THE CHIBA BANK
8332.JP,THE BANK OF YOKOHAMA
8333.JP,THE JOYO BANK
8334.JP,THE GUNMA BANK
8336.JP,THE MUSASHINO BANK
8337.JP,THE CHIBA KOGYO BANK
8338.JP,TSUKUBA BANK
8341.JP,THE 77 BANK
8342.JP,THE AOMORI BANK
8343.JP,THE AKITA BANK
8344.JP,THE YAMAGATA BANK
8345.JP,THE BANK OF IWATE
8346.JP,THE TOHO BANK
8349.JP,THE TOHOKU BANK
8350.JP,THE MICHINOKU BANK
8354.JP,FUKUOKA FINANCIAL GROUP
8355.JP,THE SHIZUOKA BANK
8356.JP,THE JUROKU BANK
8358.JP,SURUGA BANK
8359.JP,THE HACHIJUNI BANK
8360.JP,THE YAMANASHI CHUO BANK
8361.JP,THE OGAKI KYORITSU BANK
8362.JP,THE FUKUI BANK
8363.JP,THE HOKKOKU BANK
8364.JP,THE SHIMIZU BANK
8365.JP,THE BANK OF TOYAMA
8366.JP,THE SHIGA BANK
8367.JP,THE NANTO BANK
8368.JP,THE HYAKUGO BANK
8369.JP,THE BANK OF KYOTO
8370.JP,THE KIYO BANK
8374.JP,THE MIE BANK
8377.JP,HOKUHOKU FINANCIAL GROUP
8379.JP,THE HIROSHIMA BANK
8381.JP,THE SAN IN GODO BANK
8382.JP,THE CHUGOKU BANK
8383.JP,THE TOTTORI BANK
8385.JP,THE IYO BANK
8386.JP,THE HYAKUJUSHI BANK
8387.JP,THE SHIKOKU BANK
8388.JP,THE AWA BANK
8392.JP,THE OITA BANK
8393.JP,THE MIYAZAKI BANK
8395.JP,THE BANK OF SAGA
8396.JP,THE EIGHTEENTH BANK
8397.JP,THE BANK OF OKINAWA
8399.JP,BANK OF THE RYUKYUS
8410.JP,SEVEN BANK
8411.JP,MIZUHO FINANCIAL GROUP
8416.JP,THE BANK OF KOCHI
8418.JP,YAMAGUCHI FINANCIAL GROUP
8423.JP,ACCRETIVE
8424.JP,FUYO GENERAL LEASE
8425.JP,IBJ LEASING COMPANY
8439.JP,CENTURY TOKYO LEASING
8462.JP,FUTURE VENTURE CAPITAL
8473.JP,SBI HOLDINGS
8508.JP,J TRUST
8511.JP,JAPAN SECURITIES FINANCE
8515.JP,AIFUL
8518.JP,JAPAN ASIA INVESTMENT COMPANY
8519.JP,POCKET CARD
8521.JP,THE NAGANO BANK
8522.JP,THE BANK OF NAGOYA
8524.JP,NORTH PACIFIC BANK
8527.JP,THE AICHI BANK
8529.JP,THE DAISAN BANK
8530.JP,THE CHUKYO BANK
8536.JP,THE HIGASHI NIPPON BANK
8537.JP,THE TAIKO BANK
8541.JP,THE EHIME BANK
8542.JP,TOMATO BANK
8543.JP,THE MINATO BANK
8544.JP,THE KEIYO BANK
8545.JP,KANSAI URBAN BANKING
8550.JP,THE TOCHIGI BANK
8551.JP,THE KITA NIPPON BANK
8558.JP,THE TOWA BANK
8562.JP,THE FUKUSHIMA BANK
8563.JP,THE DAITO BANK
8566.JP,RICOH LEASING COMPANY
8570.JP,AEON FINANCIAL SERVICE
8572.JP,ACOM
8584.JP,JACCS
8585.JP,ORIENT
8586.JP,HITACHI CAPITAL
8589.JP,APLUS FINANCIAL
8591.JP,ORIX
8593.JP,MITSUBISHI UFJ LEASE FINANCE COMPANY
8595.JP,JAFCO
8600.JP,TOMONY HOLDINGS
8601.JP,DAIWA SECURITIES GROUP
8604.JP,NOMURA HOLDINGS
8609.JP,OKASAN SECURITIES GROUP
8613.JP,MARUSAN SECURITIES
8614.JP,TOYO SECURITIES
8616.JP,TOKAI TOKYO FINANCIAL HOLDINGS
8617.JP,THE KOSEI SECURITIES
8622.JP,MITO SECURITIES
8624.JP,ICHIYOSHI SECURITIES
8625.JP,TAKAGI SECURITIES
8628.JP,MATSUI SECURITIES
8630.JP,SOMPO JAPAN NIPPONKOA HOLDINGS
8648.JP,BANK OF AMERICA
8685.JP,AMERICAN INT GROUP
8686.JP,AFLAC
8692.JP,DSB
8697.JP,JAPAN EXCHANGE GROUP
8698.JP,MONEX GROUP
8699.JP,SAWADA HOLDINGS
8700.JP,MARUHACHI SECURITIES
8703.JP,KABUCOM SECURITIES
8704.JP,TRADERS HOLDINGS
8705.JP,OKATO HOLDINGS
8706.JP,KYOKUTO SECURITIES
8707.JP,IWAICOSMO HOLDINGS
8708.JP,AIZAWA SECURITIES
8709.JP,INVAST SECURITIES
8710.JP,CITIGROUP
8713.JP,FIDEA HOLDINGS
8714.JP,SENSHU IKEDA HOLDINGS
8715.JP,ANICOM HOLDINGS
8725.JP,MS AD INSURANCE GROUP HOLDINGS
8728.JP,MONEY SQUARE HOLDINGS
8729.JP,SONY FINANCIAL HOLDINGS
8732.JP,MONEY PARTNERS GROUP
8737.JP,AKATSUKI FINANCIAL GROUP
8739.JP,SPARX GROUP
8740.JP,FUJITOMI
8742.JP,KOBAYASHI YOKO
8746.JP,DAIICHI COMMODITIES
8747.JP,YUTAKA SHOJI
8750.JP,THE DAI ICHI LIFE INSURANCE COMPANY
8766.JP,TOKIO MARINE HOLDINGS
8769.JP,ADVANTAGE RISK MANAGEMENT
8771.JP,EGUARANTEE
8772.JP,ASAX
8783.JP,GFA
8787.JP,UCS
8789.JP,FINTECH GLOBAL
8793.JP,NEC CAPITAL SOLUTIONS
8795.JP,T D HOLDINGS
8798.JP,ADVANCE CREATE
8801.JP,MITSUI FUDOSAN
8802.JP,MITSUBISHI ESTATE COMPANY
8803.JP,HEIWA REAL ESTATE
8804.JP,TOKYO TATEMONO
8806.JP,DAIBIRU
8818.JP,KEIHANSHIN BUILDING
8830.JP,SUMITOMO REALTY DEVELOPMENT
8835.JP,TAIHEIYO KOUHATSU
8836.JP,RISE
8840.JP,DAIKYO
8841.JP,TOC
8842.JP,TOKYO RAKUTENCHI
8844.JP,COSMOS INITIA
8848.JP,LEOPALACE21
8850.JP,STARTS
8851.JP,URBAN LIFE
8854.JP,THE JAPAN LIVING SERVICE
8860.JP,FUJI
8864.JP,AIRPORT FACILITIES
8869.JP,MEIWA ESTATE COMPANY
8870.JP,SUMITOMO REAL ESTATE SALES
8871.JP,GOLDCREST
8876.JP,RELO HOLDINGS
8877.JP,NIHON ESLEAD
8881.JP,NISSHIN FUDOSAN
8885.JP,L ATTRAIT
8886.JP,WOOD FRIENDS
8887.JP,RIBERESUTE
8889.JP,APAMANSHOP HOLDINGS
8890.JP,RAYSUM
8891.JP,MG HOME
8892.JP,ES CON JAPAN
8893.JP,SHIN NIHON TATEMONO
8894.JP,HARAKOSAN
8897.JP,TAKARA LEBEN
8898.JP,CENTURY21 REAL ESTATE OF JAPAN
8903.JP,SUNWOOD
8904.JP,SANYO HOUSING NAGOYA
8905.JP,AEON MALL
8908.JP,MAINICHI COMNET
8909.JP,SHINOKEN GROUP
8912.JP,AREA QUEST
8914.JP,AREALINK
8917.JP,FIRST JUKEN CO
8918.JP,LAND
8920.JP,TOSHO
8922.JP,JAPAN ASSET MARKETING
8923.JP,TOSEI
8925.JP,ARDEPRO
8927.JP,MEIHO ENTERPRISE
8928.JP,ANABUKI KOSAN
8929.JP,AOYAMA ZAISAN NETWORKS COMPANY
8931.JP,WADAKOHSAN
8933.JP,NTT URBAN DEVELOPMENT
8934.JP,SUN FRONTIER FUDOUSAN
8935.JP,FJ NEXT
8938.JP,LOGICOM
8940.JP,INTELLEX
8944.JP,LAND BUSINESS
8945.JP,JAPAN CORPORATE HOUSING SERVICE CO
8946.JP,ASIAN STAR
8995.JP,MAKOTO CONSTRUCTION CO
8999.JP,GRANDY HOUSE
9001.JP,TOBU RAILWAY
9003.JP,SOTETSU HOLDINGS
9005.JP,TOKYU
9006.JP,KEIKYU
9007.JP,ODAKYU ELECTRIC RAILWAY
9008.JP,KEIO
9009.JP,KEISEI ELECTRIC RAILWAY
9010.JP,FUJI KYUKO
9012.JP,CHICHIBU RAILWAY
9014.JP,SHIN KEISEI ELECTRIC RAILWAY
9017.JP,NIIGATA KOTSU
9020.JP,EAST JAPAN RAILWAY COMPANY
9021.JP,WEST JAPAN RAILWAY COMPANY
9022.JP,CENTRAL JAPAN RAILWAY COMPANY
9024.JP,SEIBU HOLDINGS
9025.JP,KONOIKE TRANSPORT
9028.JP,ZERO
9029.JP,HIGASHI TWENTY ONE
9031.JP,NISHI NIPPON RAILROAD
9033.JP,HIROSHIMA ELECTRIC RAILWAY
9034.JP,NANSO TRANSPORT
9036.JP,TOHBU NETWORK
9037.JP,HAMAKYOREX
9039.JP,SAKAI MOVING SERVICE
9041.JP,KINTETSU GROUP HOLDINGS
9042.JP,HANKYU HANSHIN HOLDINGS
9044.JP,NANKAI ELECTRIC RAILWAY
9045.JP,KEIHAN ELECTRIC RAILWAY
9046.JP,KOBE ELECTRIC RAILWAY
9048.JP,NAGOYA RAILROAD
9049.JP,KEIFUKU ELECTRIC RAILROAD
9051.JP,SENKON LOGISTICS
9052.JP,SANYO ELECTRIC RAILWAY
9055.JP,ALPS LOGISTICS
9057.JP,ENSHU TRUCK
9058.JP,TRANCOM
9059.JP,KANDA HOLDINGS
9060.JP,JAPAN LOGISTIC SYSTEMS
9062.JP,NIPPON EXPRESS
9063.JP,OKAYAMAKEN FREIGHT TRANSPORTATION
9064.JP,YAMATO HOLDINGS
9065.JP,SANKYU
9066.JP,NISSIN
9067.JP,MARUWN
9068.JP,MARUZEN SHOWA UNYU
9069.JP,SENKO
9070.JP,TONAMI HOLDINGS
9072.JP,NIKKON HOLDINGS
9073.JP,KYOGOKU UNYU SHOJI
9074.JP,JAPAN OIL TRANSPORTATION
9075.JP,FUKUYAMA TRANSPORTING
9076.JP,SEINO HOLDINGS
9081.JP,KANAGAWA CHUO KOTSU
9082.JP,DAIWA MOTOR TRANSPORTATION
9083.JP,SHINKI BUS
9086.JP,HITACHI TRANSPORT SYSTEM
9087.JP,TAKASE
9090.JP,MARUWA UNYU KIKAN
9099.JP,CHILLED FROZEN LOGISTICS HOLDINGS
9101.JP,NIPPON YUSEN KABUSHIKI KAISHA
9104.JP,MITSUI O S K LINES
9107.JP,KAWASAKI KISEN KAISHA
9110.JP,NS UNITED KAIUN KAISHA
9115.JP,MEIJI SHIPPING
9119.JP,IINO KAIUN KAISHA
9127.JP,TAMAI STEAMSHIP
9130.JP,KYOEI TANKER
9133.JP,TOEI REEFER LINE
9171.JP,KURIBAYASHI STEAMSHIP
9173.JP,TOKAI KISEN
9176.JP,SADO STEAM SHIP
9179.JP,KAWASAKI KINKAI KISEN KAISHA
9193.JP,TOKYO KISEN
9201.JP,JAPAN AIRLINES
9202.JP,ANA HOLDINGS
9206.JP,STAR FLYER
9232.JP,PASCO
9233.JP,ASIA AIR SURVEY
9301.JP,MITSUBISHI LOGISTICS
9302.JP,MITSUI SOKO HOLDINGS
9303.JP,THE SUMITOMO WAREHOUSE
9304.JP,THE SHIBUSAWA WAREHOUSE
9305.JP,YAMATANE
9306.JP,TOYO LOGISTICS
9307.JP,SUGIMURA WAREHOUSE
9308.JP,INUI GLOBAL LOGISTICS
9310.JP,JAPAN TRANSCITY
9311.JP,ASAGAMI
9312.JP,THE KEIHIN
9313.JP,MARUHACHI WAREHOUSE COMPANY
9317.JP,OHNAMI
9318.JP,ASIA DEVELOPMENT CAPITAL
9319.JP,CHUO WAREHOUSE
9322.JP,KAWANISHI WAREHOUSE
9324.JP,YASUDA LOGISTICS
9351.JP,TOYO WHARF WAREHOUSE
9353.JP,SAKURAJIMA FUTO KAISHA
9355.JP,RINKO
9358.JP,UTOC
9360.JP,SUZUYO SHINWART
9361.JP,FUSHIKI KAIRIKU UNSO
9362.JP,HYOKI KAIUN KAISHA
9363.JP,DAIUN
9364.JP,KAMIGUMI
9365.JP,TRADIA
9366.JP,SANRITSU
9367.JP,DAITO KOUN
9368.JP,KIMURA UNITY
9369.JP,K R S
9370.JP,YUSEN LOGISTICS
9373.JP,NIKKO TRAVEL
9375.JP,KINTETSU WORLD EXPRESS
9376.JP,EURASIA TRAVEL
9377.JP,AGP
9380.JP,AZUMA SHIPPING
9381.JP,AIT
9384.JP,NAIGAI TRANS LINE
9385.JP,SHOEI
9386.JP,NIPPON CONCEPT
9399.JP,XINHUA HOLDINGS
9401.JP,TOKYO BROADCASTING SYSTEM HOLDINGS
9404.JP,NIPPON TELEVISION HOLDINGS
9405.JP,ASAHI BROADCASTING
9408.JP,BROADCASTING SYSTEM OF NIIGATA
9409.JP,TV ASAHI HOLDINGS
9412.JP,SKY PERFECT JSAT HOLDINGS
9413.JP,TV TOKYO HOLDINGS
9414.JP,NIPPON BS BROADCASTING
9417.JP,SMARTVALUE
9418.JP,U NEXT
9419.JP,WIRELESSGATE
9421.JP,NJ HOLDINGS
9422.JP,CONEXIO
9423.JP,FORVAL REALSTRAIGHT
9424.JP,JAPAN COMMUNICATIONS
9425.JP,NIPPON TELEPHONE
9428.JP,CROPS
9432.JP,NIPPON TELEGRAPH AND TELEPHONE
9433.JP,KDDI
9435.JP,HIKARI TSUSHIN
9436.JP,OKINAWA CELLULAR TELEPHONE COMPANY
9437.JP,NTT DOCOMO
9438.JP,MTI
9439.JP,MHGROUP
9441.JP,BELL PARK
9444.JP,TOSHIN
9445.JP,FORVAL TELECOM
9446.JP,SKI
9449.JP,GMO INTERNET
9467.JP,ALPHAPOLIS
